1,"Bates, Joseph","Bourne, Sophia",42/12/24,1842,"Fairhaven, Ma.",,,1842/12/24
2,"Miller, William","Holmes, E.",44/11/22,1844,,,display,1844/11/22
3,"Foss, Mary","White, E.G.",45/01/27,1845,,,fragment,1845/01/27
4,"Foss, Mary","White, E.G.",45/05/25,1845,,,,1845/05/25
5,"Nichols, Otis","Miller, William",46/04/20,1846,,,& 45/06/02,1846/04/20
6,"White, John","White, Anna",46/06/01,1846,,,poem re JW,1846/06/01
7,"White, J.S.","Collins, Philip",46/08/26,1846,,,,1846/08/26
8,"White, J.S.","Howland, Stockbridge",47/03/14,1847,,,,1847/03/14
9,"White, J.S.","Hastings, Elvira",47/05/21,1847,,,,1847/05/21
10,"White, J.S.","Hastings, Elvira",47/08/22,1847,,,cont. 8/25 and 9/1,1847/08/22
